N,R,P,CI,EV,LB,UB
500,333,50,95,33.06,26.93,38.69
500,333,50,99,33.06,24.67,40.2
500,321,50,90,28.25,22.88,33.43
500,321,50,95,28.25,21.68,34.29
500,321,50,99,28.25,19.26,35.9
500,325,50,90,29.85,24.6,34.91
500,325,50,95,29.85,23.43,35.76
500,325,50,99,29.85,21.06,37.34
500,330,50,90,31.86,26.75,36.77
500,330,50,95,31.86,25.62,37.59
500,330,50,99,31.86,23.32,39.13
500,324,50,90,29.45,24.17,34.54
500,324,50,95,29.45,23.0,35.39
500,324,50,99,29.45,20.61,36.98
500,331,50,90,32.26,27.18,37.14
500,331,50,95,32.26,26.06,37.96
500,331,50,99,32.26,23.77,39.49
500,327,50,90,30.66,25.46,35.66
500,327,50,95,30.66,24.31,36.49
500,327,50,99,30.66,21.96,38.05
500,326,50,90,30.25,25.03,35.28
500,326,50,95,30.25,23.87,36.12
500,326,50,99,30.25,21.51,37.7
500,176,80,90,18.95,15.97,21.93
500,176,80,95,18.95,15.33,22.44
500,176,80,99,18.95,14.04,23.39
500,180,80,90,19.95,17.01,22.89
500,180,80,95,19.95,16.37,23.39
500,180,80,99,19.95,15.1,24.34
500,169,80,90,17.2,14.16,20.24
500,169,80,95,17.2,13.5,20.76
500,169,80,99,17.2,12.18,21.73
500,184,80,90,20.96,18.05,23.86
500,184,80,95,20.96,17.42,24.35
500,184,80,99,20.96,16.16,25.28
500,186,80,90,21.46,18.56,24.34
500,186,80,95,21.46,17.94,24.83
500,186,80,99,21.46,16.69,25.75
500,181,80,90,20.21,17.27,23.13
500,181,80,95,20.21,16.63,23.63
500,181,80,99,20.21,15.36,24.57
500,192,80,90,22.96,20.12,25.78
500,192,80,95,22.96,19.51,26.27
500,192,80,99,22.96,18.28,27.17
500,190,80,90,22.46,19.6,25.3
500,190,80,95,22.46,18.99,25.79
500,190,80,99,22.46,17.75,26.7
500,189,80,90,22.21,19.34,25.06
500,189,80,95,22.21,18.73,25.55
500,189,80,99,22.21,17.48,26.46
500,172,80,90,17.95,14.93,20.97
500,172,80,95,17.95,14.28,21.48
500,172,80,99,17.95,12.97,22.44
500,183,80,90,20.71,17.79,23.62
500,183,80,95,20.71,17.16,24.11
500,183,80,99,20.71,15.89,25.04
500,194,80,90,23.46,20.64,26.27
500,194,80,95,23.46,20.03,26.75
500,194,80,99,23.46,18.81,27.65
500,171,80,90,17.7,14.67,20.72
500,171,80,95,17.7,14.02,21.24
500,171,80,99,17.7,12.71,22.21
500,198,80,90,24.46,21.68,27.23
500,198,80,95,24.46,21.08,27.7
500,198,80,99,24.46,19.87,28.59
500,166,80,90,16.45,13.38,19.52
500,166,80,95,16.45,12.71,20.04
500,166,80,99,16.45,11.38,21.03
500,175,80,90,18.7,15.71,21.69
500,175,80,95,18.7,15.07,22.2
500,175,80,99,18.7,13.77,23.15
500,199,80,90,24.71,21.94,27.47
500,199,80,95,24.71,21.34,27.94
500,199,80,99,24.71,20.14,28.83
500,177,80,90,19.2,16.23,22.17
500,177,80,95,19.2,15.59,22.68
500,177,80,99,19.2,14.3,23.63
500,193,80,90,23.21,20.38,26.03
500,193,80,95,23.21,19.77,26.51
500,193,80,99,23.21,18.55,27.41
500,204,80,90,25.96,23.23,28.68
500,204,80,95,25.96,22.65,29.14
500,204,80,99,25.96,21.46,30.01
500,188,80,90,21.96,19.08,24.82
500,188,80,95,21.96,18.46,25.31
500,188,80,99,21.96,17.22,26.23
500,178,80,90,19.45,16.49,22.41
500,178,80,95,19.45,15.85,22.92
500,178,80,99,19.45,14.57,23.86
500,187,80,90,21.71,18.82,24.58
500,187,80,95,21.71,18.2,25.07
500,187,80,99,21.71,16.95,25.99
500,174,80,90,18.45,15.45,21.45
500,174,80,95,18.45,14.81,21.96
500,174,80,99,18.45,13.5,22.92
500,200,80,90,24.96,22.19,27.71
500,200,80,95,24.96,21.6,28.18
500,200,80,99,24.96,20.4,29.06
500,182,80,90,20.46,17.53,23.38
500,182,80,95,20.46,16.9,23.87
500,182,80,99,20.46,15.63,24.81
500,170,80,90,17.45,14.41,20.48
500,170,80,95,17.45,13.76,21.0
500,170,80,99,17.45,12.44,21.97
500,196,80,90,23.96,21.16,26.75
500,196,80,95,23.96,20.55,27.22
500,196,80,99,23.96,19.34,28.12
500,195,80,90,23.71,20.9,26.51
500,195,80,95,23.71,20.29,26.99
500,195,80,99,23.71,19.08,27.88
500,203,80,90,25.71,22.97,28.43
500,203,80,95,25.71,22.38,28.9
500,203,80,99,25.71,21.2,29.77
500,185,80,90,21.21,18.3,24.1
500,185,80,95,21.21,17.68,24.59
500,185,80,99,21.21,16.42,25.52
500,179,80,90,19.7,16.75,22.65
500,179,80,95,19.7,16.11,23.16
500,179,80,99,19.7,14.83,24.1
500,191,80,90,22.71,19.86,25.54
500,191,80,95,22.71,19.25,26.03
500,191,80,99,22.71,18.01,26.94
500,168,80,90,16.95,13.9,20.0
500,168,80,95,16.95,13.24,20.52
500,168,80,99,16.95,11.91,21.5
500,206,80,90,26.46,23.75,29.16
500,206,80,95,26.46,23.17,29.62
500,206,80,99,26.46,21.99,30.48
500,201,80,90,25.21,22.45,27.95
500,201,80,95,25.21,21.86,28.42
500,201,80,99,25.21,20.67,29.3
500,202,80,90,25.46,22.71,28.19
500,202,80,95,25.46,22.12,28.66
500,202,80,99,25.46,20.93,29.54
500,197,80,90,24.21,21.42,26.99
500,197,80,95,24.21,20.82,27.46
500,197,80,99,24.21,19.61,28.35
500,218,80,90,29.46,26.86,32.05
500,218,80,95,29.46,26.3,32.49
500,218,80,99,29.46,25.18,33.32
500,205,80,90,26.21,23.49,28.92
500,205,80,95,26.21,22.91,29.38
500,205,80,99,26.21,21.73,30.25
500,215,80,90,28.71,26.08,31.33
500,215,80,95,28.71,25.52,31.77
500,215,80,99,28.71,24.38,32.61
500,210,80,90,27.46,24.79,30.12
500,210,80,95,27.46,24.21,30.58
500,210,80,99,27.46,23.06,31.43
500,440,20,90,39.51,30.2,48.0
500,440,20,95,39.51,27.92,49.29
500,440,20,99,39.51,23.12,51.64
500,449,20,90,48.58,40.67,55.8
500,449,20,95,48.58,38.73,56.89
500,449,20,99,48.58,34.65,58.89
500,445,20,90,44.55,36.01,52.33
500,445,20,95,44.55,33.93,53.51
500,445,20,99,44.55,29.53,55.67
500,444,20,90,43.54,34.85,51.47
500,444,20,95,43.54,32.72,52.67
500,444,20,99,43.54,28.25,54.86
500,448,20,90,47.57,39.5,54.93
500,448,20,95,47.57,37.53,56.05
500,448,20,99,47.57,33.37,58.09
500,446,20,90,45.56,37.18,53.2
500,446,20,95,45.56,35.13,54.36
500,446,20,99,45.56,30.81,56.47
500,447,20,90,46.56,38.34,54.07
500,447,20,95,46.56,36.33,55.2
500,447,20,99,46.56,32.09,57.28
500,451,20,90,50.6,42.99,57.53
500,451,20,95,50.6,41.13,58.58
500,451,20,99,50.6,37.22,60.5
500,453,20,90,52.61,45.32,59.26
500,453,20,95,52.61,43.54,60.27
500,453,20,99,52.61,39.78,62.12
500,450,20,90,49.59,41.83,56.67
500,450,20,95,49.59,39.93,57.74
500,450,20,99,49.59,35.93,59.7
500,337,50,90,34.66,29.77,39.38
500,337,50,95,34.66,28.68,40.16
500,337,50,99,34.66,26.47,41.63
500,345,50,90,37.87,33.22,42.35
500,345,50,95,37.87,32.18,43.1
500,345,50,99,37.87,30.08,44.5
500,344,50,90,37.47,32.78,41.98
500,344,50,95,37.47,31.75,42.73
500,344,50,99,37.47,29.63,44.14
500,339,50,90,35.47,30.63,40.12
500,339,50,95,35.47,29.56,40.9
500,339,50,99,35.47,27.38,42.35
500,334,50,90,33.46,28.48,38.26
500,334,50,95,33.46,27.37,39.06
500,334,50,99,33.46,25.12,40.56
500,335,50,90,33.86,28.91,38.63
500,335,50,95,33.86,27.81,39.43
500,335,50,99,33.86,25.57,40.92
500,336,50,90,34.26,29.34,39.0
500,336,50,95,34.26,28.25,39.79
500,336,50,99,34.26,26.02,41.28
500,342,50,90,36.67,31.92,41.24
500,342,50,95,36.67,30.87,42.0
500,342,50,99,36.67,28.73,43.42
500,347,50,90,38.67,34.08,43.09
500,347,50,95,38.67,33.06,43.83
500,347,50,99,38.67,30.98,45.21
500,332,50,90,32.66,27.61,37.52
500,332,50,95,32.66,26.5,38.33
500,332,50,99,32.66,24.22,39.84
500,338,50,90,35.06,30.2,39.75
500,338,50,95,35.06,29.12,40.53
500,338,50,99,35.06,26.92,41.99
500,340,50,90,35.87,31.06,40.49
500,340,50,95,35.87,30.0,41.26
500,340,50,99,35.87,27.83,42.71
500,348,50,90,39.07,34.51,43.47
500,348,50,95,39.07,33.5,44.2
500,348,50,99,39.07,31.44,45.57
500,353,50,90,41.08,36.66,45.33
500,353,50,95,41.08,35.68,46.03
500,353,50,99,41.08,33.69,47.36
500,343,50,90,37.07,32.35,41.61
500,343,50,95,37.07,31.31,42.36
500,343,50,99,37.07,29.18,43.78
500,341,50,90,36.27,31.49,40.86
500,341,50,95,36.27,30.43,41.63
500,341,50,99,36.27,28.28,43.07
500,352,50,90,40.68,36.23,44.95
500,352,50,95,40.68,35.25,45.67
500,352,50,99,40.68,33.24,47.0
500,351,50,90,40.28,35.8,44.58
500,351,50,95,40.28,34.81,45.3
500,351,50,99,40.28,32.79,46.65
500,349,50,90,39.47,34.94,43.84
500,349,50,95,39.47,33.93,44.57
500,349,50,99,39.47,31.89,45.93
500,356,50,90,42.28,37.95,46.44
500,356,50,95,42.28,37.0,47.14
500,356,50,99,42.28,35.04,48.44
500,346,50,90,38.27,33.65,42.72
500,346,50,95,38.27,32.62,43.47
500,346,50,99,38.27,30.53,44.86
500,355,50,90,41.88,37.52,46.07
500,355,50,95,41.88,36.56,46.77
500,355,50,99,41.88,34.59,48.08
500,354,50,90,41.48,37.09,45.7
500,354,50,95,41.48,36.12,46.4
500,354,50,99,41.48,34.14,47.72
500,350,50,90,39.87,35.37,44.21
500,350,50,95,39.87,34.37,44.93
500,350,50,99,39.87,32.34,46.29
500,230,80,90,32.46,29.97,34.94
500,230,80,95,32.46,29.44,35.36
500,230,80,99,32.46,28.36,36.16
500,219,80,90,29.71,27.12,32.29
500,219,80,95,29.71,26.56,32.73
500,219,80,99,29.71,25.44,33.56
500,227,80,90,31.71,29.2,34.22
500,227,80,95,31.71,28.66,34.65
500,227,80,99,31.71,27.57,35.45
500,235,80,90,33.71,31.27,36.15
500,235,80,95,33.71,30.75,36.56
500,235,80,99,33.71,29.69,37.34
500,217,80,90,29.21,26.6,31.81
500,217,80,95,29.21,26.04,32.25
500,217,80,99,29.21,24.91,33.08
500,231,80,90,32.71,30.23,35.18
500,231,80,95,32.71,29.7,35.6
500,231,80,99,32.71,28.63,36.39
500,213,80,90,28.21,25.57,30.84
500,213,80,95,28.21,25.0,31.29
500,213,80,99,28.21,23.85,32.14
500,229,80,90,32.21,29.72,34.7
500,229,80,95,32.21,29.18,35.12
500,229,80,99,32.21,28.1,35.92
500,226,80,90,31.46,28.94,33.98
500,226,80,95,31.46,28.39,34.41
500,226,80,99,31.46,27.3,35.21
500,208,80,90,26.96,24.27,29.64
500,208,80,95,26.96,23.69,30.1
500,208,80,99,26.96,22.53,30.96
500,212,80,90,27.96,25.31,30.6
500,212,80,95,27.96,24.74,31.05
500,212,80,99,27.96,23.59,31.9
500,243,80,90,35.71,33.35,38.07
500,243,80,95,35.71,32.84,38.48
500,243,80,99,35.71,31.81,39.23
500,237,80,90,34.21,31.79,36.63
500,237,80,95,34.21,31.27,37.04
500,237,80,99,34.21,30.22,37.81
500,222,80,90,30.46,27.9,33.01
500,222,80,95,30.46,27.35,33.45
500,222,80,99,30.46,26.24,34.27
500,220,80,90,29.96,27.38,32.53
500,220,80,95,29.96,26.83,32.97
500,220,80,99,29.96,25.71,33.79
500,211,80,90,27.71,25.05,30.36
500,211,80,95,27.71,24.47,30.82
500,211,80,99,27.71,23.32,31.67
500,233,80,90,33.21,30.75,35.66
500,233,80,95,33.21,30.22,36.08
500,233,80,99,33.21,29.16,36.87
500,234,80,90,33.46,31.01,35.9
500,234,80,95,33.46,30.48,36.32
500,234,80,99,33.46,29.42,37.1
500,214,80,90,28.46,25.83,31.09
500,214,80,95,28.46,25.26,31.53
500,214,80,99,28.46,24.12,32.37
500,239,80,90,34.71,32.31,37.11
500,239,80,95,34.71,31.79,37.52
500,239,80,99,34.71,30.75,38.29
500,207,80,90,26.71,24.01,29.4
500,207,80,95,26.71,23.43,29.86
500,207,80,99,26.71,22.26,30.72
500,242,80,90,35.46,33.09,37.83
500,242,80,95,35.46,32.58,38.24
500,242,80,99,35.46,31.55,38.99
500,225,80,90,31.21,28.68,33.74
500,225,80,95,31.21,28.13,34.17
500,225,80,99,31.21,27.04,34.98
500,247,80,90,36.71,34.38,39.04
500,247,80,95,36.71,33.88,39.43
500,247,80,99,36.71,32.87,40.18
500,240,80,90,34.96,32.57,37.35
500,240,80,95,34.96,32.05,37.76
500,240,80,99,34.96,31.01,38.52
500,236,80,90,33.96,31.53,36.39
500,236,80,95,33.96,31.01,36.8
500,236,80,99,33.96,29.95,37.58
500,223,80,90,30.71,28.16,33.25
500,223,80,95,30.71,27.61,33.69
500,223,80,99,30.71,26.5,34.5
500,216,80,90,28.96,26.34,31.57
500,216,80,95,28.96,25.78,32.01
500,216,80,99,28.96,24.65,32.85
500,248,80,90,36.96,34.64,39.28
500,248,80,95,36.96,34.14,39.67
500,248,80,99,36.96,33.14,40.41
500,221,80,90,30.21,27.64,32.77
500,221,80,95,30.21,27.09,33.21
500,221,80,99,30.21,25.97,34.03
500,246,80,90,36.46,34.12,38.8
500,246,80,95,36.46,33.62,39.19
500,246,80,99,36.46,32.61,39.94
500,224,80,90,30.96,28.42,33.49
500,224,80,95,30.96,27.87,33.93
500,224,80,99,30.96,26.77,34.74
500,232,80,90,32.96,30.49,35.42
500,232,80,95,32.96,29.96,35.84
500,232,80,99,32.96,28.89,36.63
500,228,80,90,31.96,29.46,34.46
500,228,80,95,31.96,28.92,34.88
500,228,80,99,31.96,27.83,35.68
500,209,80,90,27.21,24.53,29.88
500,209,80,95,27.21,23.95,30.34
500,209,80,99,27.21,22.79,31.19
500,241,80,90,35.21,32.83,37.59
500,241,80,95,35.21,32.31,38.0
500,241,80,99,35.21,31.28,38.76
500,238,80,90,34.46,32.05,36.87
500,238,80,95,34.46,31.53,37.28
500,238,80,99,34.46,30.48,38.05
500,244,80,90,35.96,33.61,38.31
500,244,80,95,35.96,33.1,38.71
500,244,80,99,35.96,32.08,39.47
500,245,80,90,36.21,33.86,38.55
500,245,80,95,36.21,33.36,38.95
500,245,80,99,36.21,32.34,39.7
500,452,20,90,51.6,44.16,58.4
500,452,20,95,51.6,42.33,59.43
500,452,20,99,51.6,38.5,61.31
500,457,20,90,56.64,49.97,62.73
500,457,20,95,56.64,48.34,63.65
500,457,20,99,56.64,44.9,65.34
500,454,20,90,53.62,46.48,60.13
500,454,20,95,53.62,44.74,61.12
500,454,20,99,53.62,41.06,62.92
500,458,20,90,57.65,51.14,63.6
500,458,20,95,57.65,49.54,64.5
500,458,20,99,57.65,46.18,66.15
500,455,20,90,54.63,47.65,61.0
500,455,20,95,54.63,45.94,61.96
500,455,20,99,54.63,42.34,63.73
500,456,20,90,55.64,48.81,61.86
500,456,20,95,55.64,47.14,62.81
500,456,20,99,55.64,43.62,64.53
500,460,20,90,59.67,53.46,65.33
500,460,20,95,59.67,51.94,66.19
500,460,20,99,59.67,48.75,67.76
500,359,50,90,43.48,39.25,47.56
500,359,50,95,43.48,38.31,48.24
500,359,50,99,43.48,36.4,49.51
500,358,50,90,43.08,38.82,47.19
500,358,50,95,43.08,37.87,47.87
500,358,50,99,43.08,35.95,49.15
500,361,50,90,44.28,40.11,48.3
500,361,50,95,44.28,39.18,48.97
500,361,50,99,44.28,37.3,50.23
500,363,50,90,45.08,40.97,49.05
500,363,50,95,45.08,40.06,49.71
500,363,50,99,45.08,38.2,50.94
500,365,50,90,45.89,41.83,49.79
500,365,50,95,45.89,40.93,50.44
500,365,50,99,45.89,39.1,51.66
500,360,50,90,43.88,39.68,47.93
500,360,50,95,43.88,38.75,48.6
500,360,50,99,43.88,36.85,49.87
500,364,50,90,45.49,41.4,49.42
500,364,50,95,45.49,40.5,50.07
500,364,50,99,45.49,38.65,51.3
500,357,50,90,42.68,38.39,46.81
500,357,50,95,42.68,37.43,47.5
500,357,50,99,42.68,35.49,48.79
500,368,50,90,47.09,43.12,50.9
500,368,50,95,47.09,42.25,51.54
500,368,50,99,47.09,40.46,52.73
500,362,50,90,44.68,40.54,48.67
500,362,50,95,44.68,39.62,49.34
500,362,50,99,44.68,37.75,50.58
500,367,50,90,46.69,42.69,50.53
500,367,50,95,46.69,41.81,51.17
500,367,50,99,46.69,40.01,52.37
500,371,50,90,48.29,44.42,52.02
500,371,50,95,48.29,43.56,52.64
500,371,50,99,48.29,41.81,53.81
500,366,50,90,46.29,42.26,50.16
500,366,50,95,46.29,41.37,50.81
500,366,50,99,46.29,39.55,52.02
500,374,50,90,49.49,45.71,53.14
500,374,50,95,49.49,44.87,53.74
500,374,50,99,49.49,43.16,54.88
500,369,50,90,47.49,43.56,51.28
500,369,50,95,47.49,42.68,51.91
500,369,50,99,47.49,40.91,53.09
500,372,50,90,48.69,44.85,52.39
500,372,50,95,48.69,44.0,53.01
500,372,50,99,48.69,42.26,54.17
500,375,50,90,49.89,46.14,53.51
500,375,50,95,49.89,45.31,54.11
500,375,50,99,49.89,43.61,55.24
500,370,50,90,47.89,43.99,51.65
500,370,50,95,47.89,43.12,52.28
500,370,50,99,47.89,41.36,53.45
500,373,50,90,49.09,45.28,52.76
500,373,50,95,49.09,44.43,53.38
500,373,50,99,49.09,42.71,54.52
500,380,50,90,51.9,48.29,55.37
500,380,50,95,51.9,47.5,55.95
500,380,50,99,51.9,45.87,57.03
500,253,80,90,38.21,35.94,40.48
500,253,80,95,38.21,35.45,40.87
500,253,80,99,38.21,34.46,41.6
500,265,80,90,41.22,39.05,43.37
500,265,80,95,41.22,38.59,43.74
500,265,80,99,41.22,37.65,44.43
500,259,80,90,39.71,37.5,41.93
500,259,80,95,39.71,37.02,42.31
500,259,80,99,39.71,36.06,43.01
500,268,80,90,41.97,39.83,44.1
500,268,80,95,41.97,39.37,44.46
500,268,80,99,41.97,38.44,45.14
500,272,80,90,42.97,40.87,45.06
500,272,80,95,42.97,40.41,45.42
500,272,80,99,42.97,39.5,46.09
500,267,80,90,41.72,39.57,43.86
500,267,80,95,41.72,39.11,44.22
500,267,80,99,41.72,38.18,44.91
500,255,80,90,38.71,36.46,40.96
500,255,80,95,38.71,35.97,41.35
500,255,80,99,38.71,34.99,42.07
500,264,80,90,40.97,38.79,43.13
500,264,80,95,40.97,38.32,43.5
500,264,80,99,40.97,37.38,44.2
500,288,80,90,46.97,45.02,48.92
500,288,80,95,46.97,44.6,49.25
500,288,80,99,46.97,43.75,49.87
500,273,80,90,43.22,41.13,45.3
500,273,80,95,43.22,40.68,45.66
500,273,80,99,43.22,39.77,46.32
500,270,80,90,42.47,40.35,44.58
500,270,80,95,42.47,39.89,44.94
500,270,80,99,42.47,38.97,45.61
500,258,80,90,39.46,37.24,41.69
500,258,80,95,39.46,36.76,42.07
500,258,80,99,39.46,35.79,42.78
500,260,80,90,39.96,37.75,42.17
500,260,80,95,39.96,37.28,42.54
500,260,80,99,39.96,36.32,43.25
500,252,80,90,37.96,35.68,40.24
500,252,80,95,37.96,35.19,40.63
500,252,80,99,37.96,34.2,41.36
500,266,80,90,41.47,39.31,43.61
500,266,80,95,41.47,38.85,43.98
500,266,80,99,41.47,37.91,44.67
500,256,80,90,38.96,36.72,41.2
500,256,80,95,38.96,36.23,41.59
500,256,80,99,38.96,35.26,42.3
500,262,80,90,40.47,38.27,42.65
500,262,80,95,40.47,37.8,43.02
500,262,80,99,40.47,36.85,43.72
500,269,80,90,42.22,40.09,44.34
500,269,80,95,42.22,39.63,44.7
500,269,80,99,42.22,38.71,45.38
500,251,80,90,37.71,35.42,40.0
500,251,80,95,37.71,34.93,40.39
500,251,80,99,37.71,33.93,41.12
500,274,80,90,43.47,41.39,45.54
500,274,80,95,43.47,40.94,45.9
500,274,80,99,43.47,40.04,46.56
500,277,80,90,44.22,42.16,46.26
500,277,80,95,44.22,41.72,46.61
500,277,80,99,44.22,40.83,47.27
500,250,80,90,37.46,35.16,39.76
500,250,80,95,37.46,34.67,40.15
500,250,80,99,37.46,33.67,40.89
500,279,80,90,44.72,42.68,46.75
500,279,80,95,44.72,42.24,47.09
500,279,80,99,44.72,41.36,47.74
500,261,80,90,40.22,38.01,42.41
500,261,80,95,40.22,37.54,42.78
500,261,80,99,40.22,36.59,43.49
500,293,80,90,48.22,46.31,50.12
500,293,80,95,48.22,45.9,50.44
500,293,80,99,48.22,45.08,51.05
500,287,80,90,46.72,44.76,48.67
500,287,80,95,46.72,44.33,49.01
500,287,80,99,46.72,43.48,49.63
500,263,80,90,40.72,38.53,42.89
500,263,80,95,40.72,38.06,43.26
500,263,80,99,40.72,37.12,43.96
500,254,80,90,38.46,36.2,40.72
500,254,80,95,38.46,35.71,41.11
500,254,80,99,38.46,34.73,41.83
500,278,80,90,44.47,42.42,46.51
500,278,80,95,44.47,41.98,46.85
500,278,80,99,44.47,41.1,47.51
500,276,80,90,43.97,41.9,46.02
500,276,80,95,43.97,41.46,46.37
500,276,80,99,43.97,40.57,47.03
500,249,80,90,37.21,34.9,39.52
500,249,80,95,37.21,34.4,39.91
500,249,80,99,37.21,33.4,40.65
500,275,80,90,43.72,41.64,45.78
500,275,80,95,43.72,41.2,46.14
500,275,80,99,43.72,40.3,46.8
500,257,80,90,39.21,36.98,41.45
500,257,80,95,39.21,36.49,41.83
500,257,80,99,39.21,35.53,42.54
500,271,80,90,42.72,40.61,44.82
500,271,80,95,42.72,40.15,45.18
500,271,80,99,42.72,39.24,45.85
500,280,80,90,44.97,42.94,46.99
500,280,80,95,44.97,42.51,47.33
500,280,80,99,44.97,41.63,47.98
500,282,80,90,45.47,43.46,47.47
500,282,80,95,45.47,43.03,47.81
500,282,80,99,45.47,42.16,48.45
500,281,80,90,45.22,43.2,47.23
500,281,80,95,45.22,42.77,47.57
500,281,80,99,45.22,41.89,48.22
500,283,80,90,45.72,43.72,47.71
500,283,80,95,45.72,43.29,48.05
500,283,80,99,45.72,42.42,48.69
500,289,80,90,47.22,45.28,49.16
500,289,80,95,47.22,44.86,49.49
500,289,80,99,47.22,44.02,50.11
500,285,80,90,46.22,44.24,48.19
500,285,80,95,46.22,43.81,48.53
500,285,80,99,46.22,42.95,49.16
500,291,80,90,47.72,45.79,49.64
500,291,80,95,47.72,45.38,49.97
500,291,80,99,47.72,44.55,50.58
500,290,80,90,47.47,45.53,49.4
500,290,80,95,47.47,45.12,49.73
500,290,80,99,47.47,44.28,50.34
500,284,80,90,45.97,43.98,47.95
500,284,80,95,45.97,43.55,48.29
500,284,80,99,45.97,42.69,48.92
500,459,20,90,58.66,52.3,64.46
500,459,20,95,58.66,50.74,65.34
500,459,20,99,58.66,47.47,66.95
500,464,20,90,63.7,58.12,68.8
500,464,20,95,63.7,56.75,69.57
500,464,20,99,63.7,53.87,70.98
500,469,20,90,68.74,63.93,73.13
500,469,20,95,68.74,62.76,73.8
500,469,20,99,68.74,60.28,75.01
500,467,20,90,66.73,61.61,71.4
500,467,20,95,66.73,60.35,72.1
500,467,20,99,66.73,57.72,73.4
500,463,20,90,62.69,56.95,67.93
500,463,20,95,62.69,55.55,68.72
500,463,20,99,62.69,52.59,70.18
500,461,20,90,60.68,54.63,66.2
500,461,20,95,60.68,53.15,67.03
500,461,20,99,60.68,50.03,68.56
500,462,20,90,61.69,55.79,67.06
500,462,20,95,61.69,54.35,67.88
500,462,20,99,61.69,51.31,69.37
500,468,20,90,67.73,62.77,72.26
500,468,20,95,67.73,61.55,72.95
500,468,20,99,67.73,59.0,74.2
500,465,20,90,64.71,59.28,69.66
500,465,20,95,64.71,57.95,70.41
500,465,20,99,64.71,55.15,71.79
500,466,20,90,65.72,60.44,70.53
500,466,20,95,65.72,59.15,71.26
500,466,20,99,65.72,56.43,72.59
500,378,50,90,51.1,47.43,54.62
500,378,50,95,51.1,46.62,55.21
500,378,50,99,51.1,44.97,56.31
500,391,50,90,56.31,53.03,59.46
500,391,50,95,56.31,52.31,59.98
500,391,50,99,56.31,50.83,60.97
500,381,50,90,52.3,48.73,55.74
500,381,50,95,52.3,47.93,56.31
500,381,50,99,52.3,46.32,57.39
500,393,50,90,57.11,53.9,60.2
500,393,50,95,57.11,53.18,60.72
500,393,50,99,57.11,51.73,61.68
500,385,50,90,53.9,50.45,57.23
500,385,50,95,53.9,49.68,57.78
500,385,50,99,53.9,48.12,58.82
500,377,50,90,50.7,47.0,54.25
500,377,50,95,50.7,46.18,54.84
500,377,50,99,50.7,44.52,55.96
500,388,50,90,55.1,51.74,58.34
500,388,50,95,55.1,51.0,58.88
500,388,50,99,55.1,49.48,59.89
500,379,50,90,51.5,47.86,55.0
500,379,50,95,51.5,47.06,55.58
500,379,50,99,51.5,45.42,56.67
500,382,50,90,52.7,49.16,56.11
500,382,50,95,52.7,48.37,56.68
500,382,50,99,52.7,46.77,57.75
500,386,50,90,54.3,50.88,57.6
500,386,50,95,54.3,50.12,58.15
500,386,50,99,54.3,48.58,59.18
500,376,50,90,50.3,46.57,53.88
500,376,50,95,50.3,45.75,54.48
500,376,50,99,50.3,44.06,55.6
500,384,50,90,53.5,50.02,56.85
500,384,50,95,53.5,49.25,57.41
500,384,50,99,53.5,47.67,58.46
500,392,50,90,56.71,53.46,59.83
500,392,50,95,56.71,52.75,60.35
500,392,50,99,56.71,51.28,61.33
500,387,50,90,54.7,51.31,57.97
500,387,50,95,54.7,50.56,58.52
500,387,50,99,54.7,49.03,59.54
500,395,50,90,57.91,54.76,60.95
500,395,50,95,57.91,54.06,61.45
500,395,50,99,57.91,52.63,62.4
500,383,50,90,53.1,49.59,56.48
500,383,50,95,53.1,48.81,57.05
500,383,50,99,53.1,47.22,58.1
500,389,50,90,55.51,52.17,58.71
500,389,50,95,55.51,51.43,59.25
500,389,50,99,55.51,49.93,60.25
500,390,50,90,55.91,52.6,59.09
500,390,50,95,55.91,51.87,59.62
500,390,50,99,55.91,50.38,60.61
500,396,50,90,58.31,55.19,61.32
500,396,50,95,58.31,54.5,61.82
500,396,50,99,58.31,53.09,62.76
500,394,50,90,57.51,54.33,60.57
500,394,50,95,57.51,53.62,61.08
500,394,50,99,57.51,52.18,62.04
500,401,50,90,60.32,57.34,63.18
500,401,50,95,60.32,56.68,63.65
500,401,50,99,60.32,55.34,64.55
500,398,50,90,59.11,56.05,62.06
500,398,50,95,59.11,55.37,62.55
500,398,50,99,59.11,53.99,63.47
500,399,50,90,59.51,56.48,62.43
500,399,50,95,59.51,55.81,62.92
500,399,50,99,59.51,54.44,63.83
500,300,80,90,49.97,48.13,51.81
500,300,80,95,49.97,47.73,52.12
500,300,80,99,49.97,46.93,52.71
500,286,80,90,46.47,44.5,48.43
500,286,80,95,46.47,44.07,48.77
500,286,80,99,46.47,43.22,49.4
500,322,80,90,55.47,53.83,57.11
500,322,80,95,55.47,53.48,57.39
500,322,80,99,55.47,52.77,57.91
500,303,80,90,50.72,48.91,52.53
500,303,80,95,50.72,48.52,52.84
500,303,80,99,50.72,47.73,53.42
500,319,80,90,54.72,53.06,56.38
500,319,80,95,54.72,52.7,56.67
500,319,80,99,54.72,51.97,57.2
500,305,80,90,51.22,49.42,53.01
500,305,80,95,51.22,49.04,53.32
500,305,80,99,51.22,48.26,53.89
500,297,80,90,49.22,47.35,51.08
500,297,80,95,49.22,46.95,51.4
500,297,80,99,49.22,46.14,52.0
500,294,80,90,48.47,46.57,50.36
