N,R,P,CI
50,50,80,99
100,86,20,90
100,86,20,95
100,86,20,99
100,78,20,90
100,78,20,95
100,78,20,99
100,76,20,90
100,76,20,95
100,76,20,99
100,74,20,90
100,74,20,95
100,74,20,99
100,81,20,90
100,81,20,95
100,81,20,99
100,73,20,90
100,73,20,95
100,73,20,99
100,72,20,90
100,72,20,95
100,72,20,99
100,82,20,90
100,82,20,95
100,82,20,99
100,80,20,90
100,80,20,95
100,80,20,99
100,85,20,90
100,85,20,95
100,85,20,99
100,79,20,90
100,79,20,95
100,79,20,99
100,84,20,90
100,84,20,95
100,84,20,99
100,75,20,90
100,75,20,95
100,75,20,99
100,77,20,90
100,77,20,95
100,77,20,99
100,71,20,90
100,71,20,95
100,71,20,99
100,90,20,90
100,90,20,95
100,90,20,99
100,83,20,90
100,83,20,95
100,83,20,99
100,88,20,90
100,88,20,95
100,88,20,99
100,70,20,90
100,70,20,95
100,70,20,99
100,87,20,90
100,87,20,95
100,87,20,99
100,89,20,90
100,89,20,95
100,89,20,99
100,65,20,90
100,65,20,95
100,65,20,99
100,92,20,90
100,92,20,95
100,92,20,99
100,67,20,90
100,67,20,95
100,67,20,99
100,93,20,90
100,93,20,95
100,93,20,99
100,68,20,90
100,68,20,95
100,68,20,99
100,69,20,90
100,69,20,95
100,69,20,99
100,66,20,90
100,66,20,95
100,66,20,99
100,58,50,90
100,58,50,95
100,58,50,99
100,46,50,90
100,46,50,95
100,46,50,99
100,49,50,90
100,49,50,95
100,49,50,99
100,54,50,90
100,54,50,95
100,54,50,99
100,64,50,90
100,64,50,95
100,64,50,99
100,53,50,90
100,53,50,95
100,53,50,99
100,44,50,90
100,44,50,95
100,44,50,99
100,51,50,90
100,51,50,95
100,51,50,99
100,56,50,90
100,56,50,95
100,56,50,99
100,45,50,90
100,45,50,95
100,45,50,99
100,47,50,90
100,47,50,95
100,47,50,99
100,42,50,90
100,42,50,95
100,42,50,99
100,50,50,90
100,50,50,95
100,50,50,99
100,55,50,90
100,55,50,95
100,55,50,99
100,52,50,90
100,52,50,95
100,52,50,99
100,48,50,90
100,48,50,95
100,48,50,99
100,59,50,90
100,59,50,95
100,59,50,99
100,39,50,90
100,39,50,95
100,39,50,99
100,57,50,90
100,57,50,95
100,57,50,99
100,43,50,90
100,43,50,95
100,43,50,99
100,60,50,90
100,60,50,95
100,60,50,99
100,38,50,90
100,38,50,95
100,38,50,99
100,41,50,90
100,41,50,95
100,41,50,99
100,40,50,90
100,40,50,95
100,40,50,99
100,37,50,90
100,37,50,95
100,37,50,99
100,61,50,90
100,61,50,95
100,61,50,99
100,62,50,90
100,62,50,95
100,62,50,99
100,35,50,90
100,35,50,95
100,35,50,99
100,66,50,90
100,66,50,95
100,66,50,99
100,13,80,90
100,13,80,95
100,13,80,99
100,16,80,90
100,16,80,95
100,16,80,99
100,21,80,90
100,21,80,95
100,21,80,99
100,17,80,90
100,17,80,95
100,17,80,99
100,20,80,90
100,20,80,95
100,20,80,99
100,18,80,90
100,18,80,95
100,18,80,99
100,25,80,90
100,25,80,95
100,25,80,99
100,27,80,90
100,27,80,95
100,27,80,99
100,22,80,90
100,22,80,95
100,22,80,99
100,23,80,90
100,23,80,95
100,23,80,99
100,19,80,90
100,19,80,95
100,19,80,99
100,15,80,90
100,15,80,95
100,15,80,99
100,24,80,90
100,24,80,95
100,24,80,99
100,11,80,90
100,11,80,95
100,11,80,99
100,31,80,90
100,31,80,95
100,31,80,99
100,30,80,90
100,30,80,95
100,30,80,99
100,26,80,90
100,26,80,95
100,26,80,99
100,14,80,90
100,14,80,95
100,14,80,99
100,12,80,90
100,12,80,95
100,12,80,99
100,29,80,90
100,29,80,95
100,29,80,99
100,28,80,90
100,28,80,95
100,28,80,99
100,10,80,90
100,10,80,95
100,10,80,99
100,33,80,90
100,33,80,95
100,33,80,99
100,9,80,90
100,9,80,95
100,9,80,99
100,91,20,90
100,91,20,95
100,91,20,99
100,94,20,90
100,94,20,95
100,94,20,99
100,63,50,90
100,63,50,95
100,63,50,99
100,72,50,90
100,72,50,95
100,72,50,99
100,67,50,90
100,67,50,95
100,67,50,99
100,70,50,90
100,70,50,95
100,70,50,99
100,65,50,90
100,65,50,95
100,65,50,99
100,68,50,90
100,68,50,95
100,68,50,99
100,73,50,90
100,73,50,95
100,73,50,99
100,37,80,90
100,37,80,95
100,37,80,99
100,32,80,90
100,32,80,95
100,32,80,99
100,34,80,90
100,34,80,95
100,34,80,99
100,35,80,90
100,35,80,95
100,35,80,99
100,36,80,90
100,36,80,95
100,36,80,99
100,43,80,90
100,43,80,95
100,43,80,99
100,38,80,90
100,38,80,95
100,38,80,99
100,41,80,90
100,41,80,95
100,41,80,99
100,40,80,90
100,40,80,95
100,40,80,99
100,71,50,90
100,71,50,95
100,71,50,99
100,69,50,90
100,69,50,95
100,69,50,99
100,76,50,90
100,76,50,95
100,76,50,99
100,45,80,90
100,45,80,95
100,45,80,99
100,48,80,90
100,48,80,95
100,48,80,99
100,39,80,90
100,39,80,95
100,39,80,99
100,44,80,90
100,44,80,95
100,44,80,99
100,42,80,90
100,42,80,95
100,42,80,99
100,46,80,90
100,46,80,95
100,46,80,99
100,50,80,90
100,50,80,95
100,50,80,99
100,49,80,90
100,49,80,95
100,49,80,99
100,95,20,90
100,95,20,95
100,95,20,99
100,74,50,90
100,74,50,95
100,74,50,99
100,75,50,90
100,75,50,95
100,75,50,99
100,78,50,90
100,78,50,95
100,78,50,99
100,47,80,90
100,47,80,95
100,47,80,99
100,51,80,90
100,51,80,95
100,51,80,99
100,52,80,90
100,52,80,95
100,52,80,99
100,53,80,90
100,53,80,95
100,53,80,99
100,54,80,90
100,54,80,95
100,54,80,99
100,97,20,90
100,97,20,95
100,97,20,99
100,79,50,90
100,79,50,95
100,79,50,99
100,77,50,90
100,77,50,95
100,77,50,99
100,80,50,90
100,80,50,95
100,80,50,99
100,81,50,90
100,81,50,95
100,81,50,99
100,82,50,90
100,82,50,95
100,82,50,99
100,58,80,90
100,58,80,95
100,58,80,99
100,55,80,90
100,55,80,95
100,55,80,99
100,57,80,90
100,57,80,95
100,57,80,99
100,56,80,90
100,56,80,95
100,56,80,99
100,60,80,90
100,60,80,95
100,60,80,99
100,59,80,90
100,59,80,95
100,59,80,99
100,61,80,90
100,61,80,95
100,61,80,99
100,62,80,90
100,62,80,95
100,62,80,99
100,63,80,90
100,63,80,95
100,63,80,99
100,96,20,90
100,96,20,95
100,96,20,99
100,98,20,90
100,98,20,95
100,98,20,99
100,84,50,90
100,84,50,95
100,84,50,99
100,86,50,90
100,86,50,95
100,86,50,99
100,85,50,90
100,85,50,95
100,85,50,99
100,83,50,90
100,83,50,95
100,83,50,99
100,87,50,90
100,87,50,95
100,87,50,99
100,67,80,90
100,67,80,95
100,67,80,99
100,64,80,90
100,64,80,95
100,64,80,99
100,65,80,90
100,65,80,95
100,65,80,99
100,66,80,90
100,66,80,95
100,66,80,99
100,68,80,90
100,68,80,95
100,68,80,99
100,70,80,90
100,70,80,95
100,70,80,99
100,88,50,90
100,88,50,95
100,88,50,99
100,89,50,90
100,89,50,95
100,89,50,99
100,71,80,90
100,71,80,95
100,71,80,99
100,72,80,90
100,72,80,95
100,72,80,99
100,69,80,90
100,69,80,95
100,69,80,99
100,73,80,90
100,73,80,95
100,73,80,99
100,74,80,90
100,74,80,95
100,74,80,99
100,77,80,90
100,77,80,95
100,77,80,99
100,76,80,90
100,76,80,95
100,76,80,99
100,75,80,90
100,75,80,95
100,75,80,99
100,99,20,90
100,99,20,95
100,99,20,99
